p,n,MAE_m,MAPE_percent,RMSE_m,bias_m
1.0,10000,592.5092376140418,14.066116654528255,810.8973275007303,-232.15314096886274
1.01,10000,591.429559491941,14.030996717123347,810.777113083198,-254.24488274664552
1.02,10000,591.0517144272361,14.011466077248313,811.4710712226351,-275.6990256905693
1.03,10000,591.2844495631241,14.006390698991492,812.9089205133573,-296.54038517922436
1.04,10000,592.1506635347087,14.016013290546866,815.0240468501685,-316.7925508773992
1.05,10000,593.5300773880911,14.037715672378736,817.7536063834576,-336.477960172975
1.06,10000,595.4121842570135,14.071047731753614,821.0385697996066,-355.61796645558655
1.07,10000,597.7897607288982,14.115656677329449,824.8237142929912,-374.23290265104026
1.08,10000,600.6699276392835,14.171038586474491,829.0575704467188,-392.3421403884756
1.09,10000,603.9672319017958,14.236192877275085,833.6923315462608,-409.9641451433941
1.1,10000,607.6643883579014,14.309894039524965,838.6837327312844,-427.11652766972463
1.11,10000,611.766604210988,14.39272931262407,843.9909069621145,-443.8160920064617
1.12,10000,616.1736169784006,14.482875067341212,849.5762241438098,-460.0788803199548
1.13,10000,620.8529331954844,14.580091631851527,855.4051190012013,-475.9202148205537
1.14,10000,625.9343539957415,14.686250319683266,861.4459125026739,-491.3547369719863
1.15,10000,631.3362809987474,14.799072631837658,867.669630841461,-506.39644419373053
1.16,10000,637.0292715902498,14.918347269226102,874.0498252366549,-521.0587242398248
1.17,10000,642.9634806470829,15.04322909662665,880.5623951351818,-535.3543874225969
1.18,10000,649.0410170409928,15.171887827172453,887.185416792672,-549.2956968360469
1.19,10000,655.284947531558,15.304529269961922,893.8989786898563,-562.8943967210869
1.2,10000,661.6568538793468,15.440444859636218,900.6850248006866,-576.1617391035355
1.21,10000,668.1582952031075,15.579880951074095,907.5272063638437,-589.1085088254001
1.22,10000,674.7353454394612,15.721614366028447,914.4107425135851,-601.7450470804546
1.23,10000,681.3986021463274,15.86542896671316,921.3222898911134,-614.0812735566002
1.24,10000,688.1225802477883,16.01066106418663,928.2498211751916,-626.1267072795059
1.25,10000,694.9004223621558,16.15684258791775,935.1825123328241,-637.8904862449099
1.26,10000,701.7356154999788,16.304381871980695,942.1106382896775,-649.381385920223
1.27,10000,708.6157090127548,16.45300703613754,949.025476649176,-660.6078366901837
1.28,10000,715.4856784764337,16.60172244515555,955.9192190426344,-671.5779403156588
1.29,10000,722.4150712924538,16.751508774015456,962.7848896655693,-682.2994854696142
1.3,10000,729.349547153371,16.90149895204536,969.6162705431113,-692.7799624095848
1.31,10000,736.3083255070796,17.05246181448212,976.4078330668086,-703.026576841785
1.32,10000,743.2760838137219,17.20359870887334,983.1546753528249,-713.0462630278731
1.33,10000,750.2131627237121,17.354400259375183,989.8524649857428,-722.8456961819041
1.34,10000,757.136530558181,17.505334047285533,996.4973867305041,-732.431304201537
1.35,10000,764.0778546280019,17.65687777860889,1003.0860948163887,-741.8092787745838
1.36,10000,770.9943834976727,17.80788981227623,1009.615669419828,-750.9855858990453
1.37,10000,777.9369894489674,17.95893506848404,1016.083576996651,-759.965975852179
1.38,10000,784.8708083632251,18.109695862773513,1022.4876341383368,-768.7559926417764
1.39,10000,791.8054634017883,18.260166769508178,1028.8259746502965,-777.360982970462
1.4,10000,798.7123633253999,18.41004764941311,1035.09701957317,-785.7861047418813
1.41,10000,805.5859373486578,18.559395566323072,1041.299449889921,-794.0363351356266
1.42,10000,812.4224951234448,18.7082580862168,1047.4321816823294,-802.1164782760402
1.43,10000,819.2152699878128,18.856027710614974,1053.494343519977,-810.0311725183209
1.44,10000,825.9686478856279,19.003085639159263,1059.4852558831517,-817.784897373891
1.45,10000,832.692626742139,19.149557057184076,1065.404412438061,-825.3819800955138
1.46,10000,839.3478120846806,19.294758808739722,1071.2514629986067,-832.8266019414442
1.47,10000,845.9334361790994,19.43867830178238,1077.0261980233179,-840.1228041364309
1.48,10000,852.4702951851885,19.58169745846419,1082.7285345097268,-847.2744935466088
1.49,10000,858.9384674504731,19.72337988264272,1088.3585031604725,-854.2854480839036
1.5,10000,865.3153708310947,19.863344768656248,1093.9162367069036,-861.1593218548667
1.51,10000,871.6248566271346,20.001923027248054,1099.401959286085,-867.8996500677396
1.52,10000,877.8634101142801,20.139008564010044,1104.8159767766983,-874.5098537109103
1.53,10000,884.0115955763947,20.274189784948057,1110.1586680076553,-880.9932440148517
1.54,10000,890.0751748090712,20.407718678053126,1115.4304767613112,-887.3530267091852
1.55,10000,896.0486031066087,20.53948483126598,1120.6319045000987,-893.5923060856154
1.56,10000,901.9372967670827,20.669495477289537,1125.763503751927,-899.7140888769246
1.57,10000,907.7324295247234,20.79776021787366,1130.8258720955657,-905.7212879615888
1.58,10000,913.4327147606609,20.924151229389352,1135.8196466925926,-911.6167259030581
1.59,10000,919.0390109702513,21.04874326012806,1140.7454993172591,-917.4031383321177
1.6,10000,924.5560894228599,21.1715189714789,1145.6041318401524,-923.0831771804126
1.61,10000,929.9859002611166,21.29249547324227,1150.396272125394,-928.6594137725834
1.62,10000,935.3229876093669,21.411527677272044,1155.1226703048385,-934.1343417841537
1.63,10000,940.5700045393927,21.528782551971418,1159.7840953960326,-939.5103800719019
1.64,10000,945.7362911183849,21.644426612432635,1164.3813322335814,-944.789875382958
1.65,10000,950.8201763895419,21.758416470708834,1168.9151786864272,-949.9751049486734
1.66,10000,955.8269614164229,21.87080488391671,1173.3864431359073,-955.0682789688628
1.67,10000,960.750994330493,21.981510321812646,1177.7959421917203,-960.0715429917384
1.68,10000,965.5944665973904,22.090521854209637,1182.1444986249937,-964.986980194588
1.69,10000,970.3563695793708,22.197786207001055,1186.4329394994475,-969.816613569936
1.7,10000,975.0399451238586,22.30340327425203,1190.6620944833935,-974.5624080217378
1.71,10000,979.646987178996,22.407390967530315,1194.832794326721,-979.2262723757837
1.72,10000,984.1785598893911,22.50977699089257,1198.9458694885257,-983.8100613084097
1.73,10000,988.637971967068,22.61071792465347,1203.002148902271,-988.3155771973417
1.74,10000,993.0277699482564,22.710256260670302,1207.0024588664157,-992.7445718982123
1.75,10000,997.3484345151384,22.80830745917777,1210.9476220496344,-997.0987484502463
1.76,10000,1001.5990397689706,22.904869933411458,1214.8384566006469,-1001.3797627143648
1.77,10000,1005.7808250585042,23.00000008855247,1218.6757753534848,-1005.589224946749
1.78,10000,1009.8938751894982,23.09364773808521,1222.460385119852,-1009.7287013107689
1.79,10000,1013.9424396568652,23.185894345929196,1226.1930860610473,-1013.7997153301508
1.8,10000,1017.9283005267155,23.276821243697203,1229.8746711323524,-1017.8037492858667
1.81,10000,1021.8511306362996,23.36634672056804,1233.5059255936594,-1021.7422455594082
1.82,10000,1025.7130493411437,23.454564058802315,1237.087626580378,-1025.6166079246548
1.83,10000,1029.5137680869325,23.54146576932817,1240.6205427293714,-1029.4282027906947
1.84,10000,1033.2532178886338,23.62699115418981,1244.1054338550716,-1033.1783603977487
1.85,10000,1036.933017629636,23.711218012972058,1247.543050671229,-1036.8683759681537
1.86,10000,1040.5544425513847,23.79417883135475,1250.9341345542562,-1040.4995108143899
1.87,10000,1044.1200627207745,23.875931443834837,1254.2794173444806,-1044.0729934060391
1.88,10000,1047.6305201684638,23.9564906096803,1257.579621181761,-1047.5900203973117
1.89,10000,1051.0862388910718,24.035869274920866,1260.8354583724704,-1051.0517576169423
1.9,10000,1054.488624225137,24.114093181599554,1264.047631284898,-1054.4593410219616
1.91,10000,1057.8381794613958,24.191153379463948,1267.2168322703963,-1057.8138776168234
1.92,10000,1061.1363698053638,24.26710476721668,1270.3437436080358,-1061.1164463394848
1.93,10000,1064.3840112982757,24.341983115316115,1273.4290374703644,-1064.368098915622
1.94,10000,1067.58205257349,24.415791690986588,1276.4733759083779,-1067.5698606824176
1.95,10000,1070.7313189787671,24.488518865286917,1279.477410853804,-1070.7227313831154
1.96,10000,1073.8330390840408,24.560224508693675,1282.4417841370328,-1073.8276859335665
1.97,10000,1076.888907060093,24.63099874509261,1285.367127519095,-1076.885675161852
1.98,10000,1079.8991820107024,24.700780292848034,1288.2540627363214,-1079.8976265221245
1.99,10000,1082.865076461627,24.769719862598215,1291.1032015563671,-1082.8644447836823
2.0,10000,1085.7872492780095,24.83778773770414,1293.9151458443303,-1085.7870126961968
2.01,10000,1088.6663311825987,24.90503275044159,1296.6904876380381,-1088.6661916321877
2.02,10000,1091.5029428429382,24.971351835974534,1299.4298092313206,-1091.5028222074768
2.03,10000,1094.2978270616215,25.036711813489056,1302.133683264477,-1094.2977248805955
2.04,10000,1097.0517847070466,25.10113091505583,1304.8026728210657,-1097.051700531939
2.05,10000,1099.765597629466,25.164626941665762,1307.4373315302212,-1099.7655310234175
2.06,10000,1102.4400403467762,25.22722103052622,1310.0382036738579,-1102.4399797394208
2.07,10000,1105.0758517523516,25.28892795816779,1312.6058242980623,-1105.0757921097581
2.08,10000,1107.6737548279102,25.349762623426525,1315.1407193281223,-1107.6736961152835
2.09,10000,1110.234460593043,25.409741224486204,1317.6434056866538,-1110.234402776871
2.1,10000,1112.7586635803746,25.468879585666404,1320.1143914143543,-1112.7586066283811
2.11,10000,1115.2470422930576,25.52719316778002,1322.554175792878,-1115.2469861741547
2.12,10000,1117.7002596474697,25.584697078155923,1324.9632494695184,-1117.7002043317132
2.13,10000,1120.1189634015884,25.641406080337383,1327.3420945832581,-1120.118908860134
2.14,10000,1122.503786569611,25.697334603469336,1329.6911848918808,-1122.5037327746736
2.15,10000,1124.8553478233264,25.752496751385628,1332.0109858998464,-1124.8552947481398
2.16,10000,1127.1742518806836,25.806906311406635,1334.3019549866092,-1127.174199499462
2.17,10000,1129.4610898821084,25.8605767628595,1336.564541535209,-1129.4610381700097
2.18,10000,1131.7164397549204,25.91352128532912,1338.7991870608246,-1131.7163886880112
2.19,10000,1133.9408665663427,25.96575276665087,1341.006325339132,-1133.9408161215638
2.2,10000,1136.134922865487,26.017283810653936,1343.1863825342705,-1136.1348730206207
2.21,10000,1138.2991490147197,26.068126744664205,1345.3397773262461,-1138.2990997483582
2.22,10000,1140.4340735107771,26.11829362677522,1347.4669210376233,-1140.434024802293
2.23,10000,1142.5402132960126,26.16779625289577,1349.5682177593808,-1142.540165125528
2.24,10000,1144.6180740601037,26.216646163581597,1351.6440644757988,-1144.6180264084649
2.25,10000,1146.6681505325564,26.26485465065878,1353.6948511882647,-1146.6681033813047
2.26,10000,1148.6909267663368,26.31243276364638,1355.7209610379161,-1148.6908800976835
2.27,10000,1150.6868764129492,26.35939131598542,1357.7227704270442,-1150.686830209751
2.28,10000,1152.6564629892237,26.405740891080303,1359.7006491391514,-1152.6564172349576
2.29,10000,1154.6001401361264,26.45149184815969,1361.6549604576235,-1154.6000948148687
2.3,10000,1156.5183518698686,26.496654327963004,1363.5860612829636,-1156.5183069662705
2.31,10000,1158.4115328255416,26.541238258257867,1365.4943022485036,-1158.4114883248092
2.32,10000,1160.2801084935877,26.585253359195367,1367.3800278346034,-1160.2800643814614
2.33,10000,1162.1244954492963,26.62870914850753,1369.2435764812565,-1162.1244517120308
2.34,10000,1163.9451015756026,26.671614946553046,1371.0852806991038,-1163.945058199948
2.35,10000,1165.7423262793673,26.713979881215728,1372.9054671787983,-1165.742283252551
2.36,10000,1167.516560701414,26.755812892661396,1374.704456898748,-1167.5165180111226
2.37,10000,1169.268187920473,26.797122737957164,1376.4825652311763,-1169.2681455548368
2.38,10000,1170.9975831512675,26.837917995557852,1378.2401020465063,-1170.997541098842
2.39,10000,1172.7051139369426,26.87820706966462,1379.9773718160925,-1172.7050721866947
2.4,10000,1174.391140335983,26.917998194458725,1381.6946737132346,-1174.3910988772757
2.41,10000,1176.0560151038387,26.95729943821552,1383.3923017125237,-1176.0559739264156
2.42,10000,1177.7000838694096,26.9961187073022,1385.0705446875036,-1177.7000429633815
2.43,10000,1179.3236853065684,27.034463750063153,1386.729686506659,-1179.3236446624007
2.44,10000,1180.9271513008648,27.072342160596264,1388.3700061277207,-1180.9271109093634
2.45,10000,1182.5108071115912,27.109761382424285,1389.9917776903312,-1182.51076696389
2.46,10000,1184.0749715293198,27.146728712063734,1391.5952706070302,-1184.0749316168703
2.47,10000,1185.6199570291012,27.183251302495503,1393.1807496526305,-1185.619917343659
2.48,10000,1187.1460699194324,27.219336166539833,1394.7484750519632,-1187.1460304530472
2.49,10000,1188.6536104871238,27.25499018013837,1396.2987025659997,-1188.6535712321286
2.5,10000,1190.1428731382011,27.29022008554661,1397.8316835763865,-1190.142834087202
2.51,10000,1191.6141465350163,27.325032494440364,1399.3476651684439,-1191.6141076808815
2.52,10000,1193.0677137295638,27.35943389093659,1400.8468902125433,-1193.0676750654163
2.53,10000,1194.5038522932534,27.393430634533722,1402.3295974439964,-1194.5038138124592
2.54,10000,1195.922834443183,27.42702896297311,1403.7960215414307,-1195.9227961393447
2.55,10000,1197.3249271649834,27.460234995022564,1405.246393203615,-1197.3248890319296
2.56,10000,1198.710392332459,27.493054733187645,1406.680939224896,-1198.7103543642372
2.57,10000,1200.0794868239689,27.525494066348998,1408.099882569094,-1200.0794490148378
2.58,10000,1201.4324626357763,27.55755877233119,1409.503442442025,-1201.4324249801978
2.59,10000,1202.769566992395,27.589254520403472,1410.8918343625967,-1202.7695294850264
2.6,10000,1204.0910424540316,27.62058687371487,1412.2652702325147,-1204.091005089719
2.61,10000,1205.3971270212098,27.651561291665573,1413.623958404619,-1205.397089794982
2.62,10000,1206.6880542366869,27.68218313221683,1414.9681037498972,-1206.6880171437474
2.63,10000,1207.964053284692,27.712457654140476,1416.2979077231503,-1207.9640163204142
2.64,10000,1209.2253490876342,27.742390019210934,1417.6135684273959,-1209.2253122475543
2.65,10000,1210.4721624002773,27.77198529434013,1418.9152806769605,-1210.4721256800885
2.66,10000,1211.7047099015276,27.80124845365817,1420.2032360593482,-1211.7046732970748
2.67,10000,1212.9232042838532,27.83018438054055,1421.4776229958627,-1212.9231677911278
2.68,10000,1214.1278543404437,27.858797869584134,1422.7386268010403,-1214.1278179555777
2.69,10000,1215.3188650501236,27.887093628532362,1423.9864297408662,-1215.3188287693852
2.7,10000,1216.4964376601674,27.915076280152846,1425.221211089876,-1216.4964014799555
2.71,10000,1217.6607697669683,27.94275036406652,1426.44314718706,-1217.660733683808
2.72,10000,1218.8120553947283,27.970120338531952,1427.652411490692,-1218.8120194052674
2.73,10000,1219.95048507216,27.997190582184555,1428.8491746320449,-1219.9504491731632
2.74,10000,1221.0762459072646,28.023965395732414,1430.0336044680118,-1221.0762100956097
2.75,10000,1222.1895216602932,28.05044900361085,1431.20586613272,-1222.189485932968
2.76,10000,1223.2904928148387,28.07664555559477,1432.366122088036,-1223.2904571689357
2.77,10000,1224.379336647239,28.102559128372697,1433.5145321731295,-1224.3793010799527
2.78,10000,1225.4562272942298,28.128193727081275,1434.651253652992,-1225.456191802853
2.79,10000,1226.521335818963,28.15355328680268,1435.7764412660008,-1226.5213004008822
2.8,10000,1227.5748302754055,28.178641674025435,1436.890247270526,-1227.5747949280994
2.81,10000,1228.6168757711735,28.20346268806975,1437.992821490593,-1228.6168404922078
2.82,10000,1229.647634528861,28.228020062478866,1439.0843113606513,-1229.6475993158874
2.83,10000,1230.6672659458416,28.252317466375686,1440.164861969392,-1230.6672307965919
2.84,10000,1231.6759266526967,28.27635850578852,1441.234616102756,-1231.6758915649832
2.85,10000,1232.673770570185,28.30014672494354,1442.2937142860164,-1232.6737355418961
2.86,10000,1233.6609489648793,28.32368560752733,1443.3422948250454,-1233.6609139939758
2.87,10000,1234.637610503491,28.34697857791953,1444.3804938467702,-1234.6375755880053
2.88,10000,1235.6039013058576,28.37002900239532,1445.4084453387609,-1235.6038664438909
2.89,10000,1236.559964996735,28.392840190300767,1446.4262811880944,-1236.5599301864534
2.9,10000,1237.505942756331,28.415415395199762,1447.4341312193924,-1237.5059079959647
