Métrica,p,d_p (km),d_G (km),τ_p = d_G/d_p,Erro absoluto (m),Erro relativo (%)
d_1.25,1.25,2.7057864025038594,2.606109017340139,0.9631613991882427,99.67738516372037,3.8247588454858135
d_1.5,1.5,2.481977537615112,2.606109017340139,1.0500131358337363,124.13147972502702,4.763096205841717
d_1.54,1.54,2.4547292274872934,2.606109017340139,1.061668630559225,151.37978985284553,5.808651474117824
d_1.75,1.75,2.3373410366603107,2.606109017340139,1.1149887741943962,268.76798067982827,10.312998377717127
d_2,2,2.237482920929632,2.606109017340139,1.1647503509243993,368.62609641050676,14.144692104505127
d_1,1,3.088991403291875,2.606109017340139,0.8436763581027975,482.88238595173607,18.52886363305623
d_3,3,2.0375723018660588,2.606109017340139,1.2790265233549751,568.5367154740802,21.81553847867589
d_5,5,1.9254523035789481,2.606109017340139,1.353504842730207,680.6567137611908,26.11773756325383
d_10,10,1.8896168712934807,2.606109017340139,1.3791732371420906,716.4921460466583,27.492792560839547
d_∞,∞,1.887567032892257,2.606109017340139,1.3806709758788718,718.541984447882,27.571447689523144
