p,Métrica,n,MAE (m),MAPE (%),RMSE (m),Viés médio (m),Tortuosidade média,Tortuosidade mediana
1.0,d_1,10000,1479.6497246614986,13.751194015286012,2060.1563896389243,-253.30093414593284,1.0713813085965151,1.0200468524270492
1.01,d_1.01,10000,1466.5569820298708,13.645392798635335,2044.9701221701853,-311.49581388995443,1.0768318857435644,1.0257388519200585
1.02,d_1.02,10000,1455.504828433656,13.557412121735025,2032.4183964386082,-368.0419365821057,1.0821850794101453,1.0315972882052389
1.03,d_1.03,10000,1446.2877239659588,13.485019417978156,2022.3427265633848,-423.00326178672333,1.0874430856359778,1.0369213265432764
1.04,d_1.04,10000,1438.742717093071,13.42707440203766,2014.5876175448966,-476.4405884267936,1.092608044081743,1.0420885569614247
1.05,d_1.05,10000,1432.7918368585497,13.383417985054384,2009.0012096153318,-528.41174429105,1.0976820394612035,1.0471528118809124
1.06,d_1.06,10000,1428.4707120572737,13.353665065345698,2005.435875431618,-578.9717622239092,1.1026671029522666,1.052396144016721
1.07,d_1.07,10000,1425.6633318509294,13.336471438224933,2003.7487536550332,-628.173044067309,1.1075652135852436,1.057524533486653
1.08,d_1.08,10000,1424.3374887884304,13.331509067321836,2003.8022072186845,-676.0655133279879,1.1123782996069282,1.0621550948943588
1.09,d_1.09,10000,1424.3586769594635,13.338217587778217,2005.464199190916,-722.6967574562267,1.1171082398192969,1.066988391542596
1.1,d_1.1,10000,1425.869918810822,13.35749491017317,2008.6085833444988,-768.1121605447771,1.1217568648919582,1.071712861838288
1.11,d_1.11,10000,1428.6836967256347,13.387827526517233,2013.1153101608093,-812.3550271852561,1.1263259586475856,1.0761247229198263
1.12,d_1.12,10000,1432.6443049155257,13.42748632977907,2018.870551936801,-855.4666981561843,1.1308172593198162,1.0804203097214935
1.13,d_1.13,10000,1437.7066254935053,13.476129299041803,2025.7667528906156,-897.4866585590277,1.135232460783245,1.0849850312131593
1.14,d_1.14,10000,1443.6040387141259,13.533522676114709,2033.7026117052235,-938.4526389661029,1.1395732137552426,1.089044093305997
1.15,d_1.15,10000,1450.1468083513078,13.597915185447672,2042.5830048746757,-978.400710097449,1.143841126969509,1.0932772756220541
1.16,d_1.16,10000,1457.5004802241979,13.670315599051802,2052.318859613913,-1017.3653715003019,1.1480377683213274,1.0976335880113286
1.17,d_1.17,10000,1465.6811165013269,13.750543551834056,2062.8269850622337,-1055.3796346661882,1.152164665984605,1.1012519312057867
1.18,d_1.18,10000,1474.7846919800227,13.838378832140753,2074.029870153529,-1092.4751009851548,1.1562233095008676,1.1053184828247051
1.19,d_1.19,10000,1484.6920466729423,13.932969436730616,2085.8554559377253,-1128.682034904285,1.160215150840428,1.109062003335488
1.2,d_1.2,10000,1495.2681183473615,14.033810043930906,2098.236889400394,-1164.029432628441,1.1641416054360176,1.1128223244582156
1.21,d_1.21,10000,1506.551990386303,14.14128587980863,2111.112265009871,-1198.5450866744557,1.1680040531892377,1.1169130188604022
1.22,d_1.22,10000,1518.4117070681084,14.254462544708618,2124.4243593778688,-1232.255646565325,1.171803839450192,1.1205002332864955
1.23,d_1.23,10000,1530.6907833908551,14.371801544437558,2138.1203635917386,-1265.1866759290342,1.1755422759707412,1.1240826010500062
1.24,d_1.24,10000,1543.4175052371188,14.493436133681097,2152.151616992598,-1297.3627062459398,1.1792206418318179,1.1274838673831562
1.25,d_1.25,10000,1556.5285883636122,14.618576079577027,2166.473345452887,-1328.8072874703212,1.1828401843452954,1.1305142992607928
1.26,d_1.26,10000,1569.950913614289,14.746249644339649,2181.044406559472,-1359.5430357342552,1.1864021199308823,1.1337146354849685
1.27,d_1.27,10000,1583.6294517737633,14.876456481702093,2195.82704353948,-1389.5916783267971,1.1899076349685813,1.1368559463194061
1.28,d_1.28,10000,1597.6704404813268,15.009781559561176,2210.7866492744924,-1418.9740961268271,1.1933578866272292,1.1397509136429607
1.29,d_1.29,10000,1612.0531182733948,15.14629109452545,2225.8915413317955,-1447.7103636548422,1.1967540036696522,1.1424033972661278
1.3,d_1.3,10000,1626.6021523222137,15.284293047741023,2241.112748593362,-1475.8197868968193,1.2000970872349666,1.1452307379231976
1.31,d_1.31,10000,1641.4743005019636,15.424992786779894,2256.4238097778853,-1503.3209390425238,1.203388211598599,1.148429645820776
1.32,d_1.32,10000,1656.5552259204653,15.567576637083322,2271.8005839205453,-1530.2316942699126,1.2066284249105421,1.1512439469671851
1.33,d_1.33,10000,1671.7585320091741,15.711369140325793,2287.221072693334,-1556.5692596983445,1.2098187499124107,1.1539525466459504
1.34,d_1.34,10000,1687.1120599204883,15.85637501860843,2302.6652543076434,-1582.3502056243244,1.212960184633826,1.1564992073598241
1.35,d_1.35,10000,1702.6496890492492,16.002667438727162,2318.1149286350437,-1607.590494145855,1.2160537030686869,1.159348911888429
1.36,d_1.36,10000,1718.4352846022948,16.150565368493268,2333.5535731051095,-1632.3055062738279,1.2191002558318473,1.1616854243332617
1.37,d_1.37,10000,1734.3258607631128,16.298876327651296,2348.9662088863015,-1656.510067622206,1.2221007707967273,1.1642905901007872
1.38,d_1.38,10000,1750.2792818504176,16.44755783055221,2364.339276822619,-1680.2184727626293,1.2250561537143978,1.1666944083596797
1.39,d_1.39,10000,1766.4175248622898,16.597300002875265,2379.6605225806998,-1703.444508322959,1.2279672888146247,1.169021299460407
1.4,d_1.4,10000,1782.5481529266901,16.746738073181028,2394.918890456873,-1726.2014749042655,1.2308350393893988,1.1710790515716214
1.41,d_1.41,10000,1798.7573683820835,16.89625785659831,2410.104425297591,-1748.5022078855557,1.2336602483594383,1.1736417086076125
1.42,d_1.42,10000,1815.0337542074717,17.045800504178704,2425.2081819982263,-1770.3590971811052,1.2364437388241534,1.175751394952182
1.43,d_1.43,10000,1831.3863938210939,17.19557403329122,2440.222142061881,-1791.7841060108622,1.2391863145955435,1.1781529157313384
1.44,d_1.44,10000,1847.7518364774667,17.345157931872407,2455.139136720643,-1812.7887887405782,1.2418887607164997,1.1803426287378063
1.45,d_1.45,10000,1864.1147549834527,17.49469389744415,2469.952776144826,-1833.3843078445345,1.244551843963952,1.182603077653194
1.46,d_1.46,10000,1880.4475984631304,17.643501894465235,2484.6573842908856,-1853.581450040646,1.24717631333735,1.1848497218346061
1.47,d_1.47,10000,1896.8150198480166,17.79199810958866,2499.2479389638006,-1873.3906416438856,1.2497629005328352,1.1872591674590662
1.48,d_1.48,10000,1913.1301047085985,17.939628993825256,2513.720016696446,-1892.8219631820268,1.2523123204036162,1.1894447176162841
1.49,d_1.49,10000,1929.4587842598673,18.086830552959274,2528.069742073338,-1911.8851633139939,1.2548252714068866,1.1916204849321042
1.5,d_1.5,10000,1945.709671615857,18.23312393055748,2542.2937411518164,-1930.589672089313,1.257302436037734,1.1939419126594697
1.51,d_1.51,10000,1961.8867645694918,18.37835629146435,2556.38909865753,-1948.9446135842793,1.2597444812504004,1.196029270450215
1.52,d_1.52,10000,1977.9837615647205,18.522561707729032,2570.353318654782,-1966.9588179487844,1.26215205886731,1.1979993321033608
1.53,d_1.53,10000,1993.9448042564716,18.665425605198337,2584.184288413741,-1984.640832895007,1.2645258059761906,1.1999818468035512
1.54,d_1.54,10000,2009.7954215690172,18.807136318056493,2597.8802452180785,-2001.998934657992,1.2668663453156859,1.20238901871859
1.55,d_1.55,10000,2025.4954351749889,18.94753434603471,2611.4397458757703,-2019.0411384558677,1.2691742856497936,1.2045261653036807
1.56,d_1.56,10000,2041.0791076049863,19.086684225185124,2624.8616387143798,-2035.7752084759452,1.2714502221314663,1.206648503503959
1.57,d_1.57,10000,2056.548921651593,19.22464843305658,2638.145037859303,-2052.2086674114,1.273694736655707,1.2085158465708692
1.58,d_1.58,10000,2071.8797101292303,19.361174258388875,2651.289299609524,-2068.3488055718435,1.2759083982024924,1.21073638420452
1.59,d_1.59,10000,2087.041871422225,19.496187392221998,2664.2940007400543,-2084.2026895895056,1.2780917631698063,1.2128574728642298
1.6,d_1.6,10000,2102.0201492790125,19.629593208983238,2677.1589185743665,-2099.77717074187,1.2802453756971228,1.2145777708954149
1.61,d_1.61,10000,2116.8209554035166,19.761355700614477,2689.884012682417,-2115.078892909968,1.2823697679795947,1.216083892977535
1.62,d_1.62,10000,2131.4344959251916,19.89142066186952,2702.4694080719255,-2130.114300190762,1.2844654605732522,1.2181656867287938
1.63,d_1.63,10000,2145.8871233597674,20.01985041109705,2714.9153797513586,-2144.8896441809684,1.286532962691493,1.219958829365431
1.64,d_1.64,10000,2160.1686476921127,20.146672808143297,2727.2223385527986,-2159.4109909484255,1.2885727724931022,1.2218374726804277
1.65,d_1.65,10000,2174.269056358357,20.271824495590383,2739.39081811241,-2173.6842277066,1.290585377362095,1.2237413848673118
1.66,d_1.66,10000,2188.163949377723,20.395094321553564,2751.421462914386,-2187.715069206665,1.292571254179607,1.2254082077771344
1.67,d_1.67,10000,2201.8598524995828,20.516564202891857,2763.315017312072,-2201.509063860882,1.294530869588087,1.2273786732976268
1.68,d_1.68,10000,2215.3528055959355,20.63617661907503,2775.0723154471434,-2215.0715996103054,1.296464680248025,1.2290761590506154
1.69,d_1.69,10000,2228.6348368162967,20.75392995935657,2786.694271994126,-2228.4079095490233,1.2983731330874368,1.2310738908784287
1.7,d_1.7,10000,2241.710838918461,20.869839796937136,2798.1818736637197,-2241.5230773166863,1.3002566655443504,1.2327446062711411
1.71,d_1.71,10000,2254.5790833356446,20.983980104369465,2809.5361714035444,-2254.4220422700764,1.3021157058024677,1.2346197553965634
