Métrica,p,n,MAE (m),MAPE (%),RMSE (m),Viés médio (m),Tortuosidade média,Tortuosidade mediana,Tortuosidade p05,Tortuosidade p95,Distância média d_p (km),Distância média d_G (km)
d_1.08,1.08,10000,1424.3374887884304,13.331509067321836,2003.8022072186845,-676.0655133279879,1.1123782996069282,1.0621550948943588,0.854424522502986,1.5457990970606044,10.244151109485767,10.920216622813756
d_1,1,10000,1479.6497246614986,13.751194015286012,2060.1563896389243,-253.30093414593284,1.0713813085965151,1.0200468524270492,0.8127419368556215,1.4985383930005491,10.666915688667821,10.920216622813756
d_1.25,1.25,10000,1556.5285883636122,14.618576079577027,2166.473345452887,-1328.8072874703212,1.1828401843452954,1.1305142992607928,0.9289067904365531,1.6304026488626486,9.591409335343435,10.920216622813756
d_1.5,1.5,10000,1945.709671615857,18.23312393055748,2542.2937411518164,-1930.589672089313,1.257302436037734,1.1939419126594697,1.0116010656337509,1.7228319664417877,8.98962695072444,10.920216622813756
d_1.54,1.54,10000,2009.7954215690172,18.807136318056493,2597.8802452180785,-2001.998934657992,1.2668663453156859,1.20238901871859,1.0228069132397608,1.732568665699032,8.918217688155762,10.920216622813756
d_1.75,1.75,10000,2304.0369737783944,21.422784107935737,2853.6432056136537,-2303.949883460045,1.3093151972705284,1.2409608539041375,1.0681941613540062,1.7792188829627724,8.61626673935371,10.920216622813756
d_2,2,10000,2552.4473923503556,23.62932856419988,3086.65334868176,-2552.4470803005624,1.3470137044599912,1.2770828434685266,1.1066447886320043,1.8252345400939174,8.367769542513193,10.920216622813756
d_3,3,10000,3022.3096300334473,27.792357491350185,3579.224658590571,-3022.3096300334473,1.4272027569174497,1.356207978931149,1.1584015025349805,1.942241324848461,7.8979069927803085,10.920216622813756
d_5,5,10000,3278.6418539235765,30.02612598500398,3883.59291274623,-3278.6418539235765,1.4782188501733924,1.4101281640301664,1.1649637119345395,2.025256909095218,7.6415747688901785,10.920216622813756
d_10,10,10000,3393.1055240103938,31.00010246286902,4034.9672891397418,-3393.1055240103938,1.5040585369320065,1.4369160369826819,1.165363094937752,2.08227651764824,7.5271110988033625,10.920216622813756
d_∞,∞,10000,3432.423542583585,31.328766794851113,4092.22773497064,-3432.423542583585,1.5140680584967459,1.441364952657795,1.1653641730507096,2.1026892497171223,7.487793080230171,10.920216622813756
